feature,top_eigenvector_loading,abs_loading
x817,-0.003633017,0.003633017
x328,-0.003633017,0.003633017
x936,-0.003633017,0.003633017
x767,-0.003633017,0.003633017
x412,-0.003633017,0.003633017
x198,-0.003633017,0.003633017
x140,-0.003633017,0.003633017
x801,-0.003632835,0.003632835
x356,0.003615673,0.003615673
x1335,0.003582135,0.003582135
x741,-0.0035527078,0.0035527078
x476,-0.0035527078,0.0035527078
x637,-0.0035527078,0.0035527078
x474,-0.0034672031,0.0034672031
x573,-0.0034549756,0.0034549756
x841,0.0034060194,0.0034060194
x834,0.0034060194,0.0034060194
x866,0.0034060194,0.0034060194
x1444,-0.0034001858,0.0034001858
x186,0.003390851,0.003390851
x1549,-0.003376283,0.003376283
x75,-0.0032626814,0.0032626814
x1447,-0.0030016492,0.0030016492
x1109,0.0029384475,0.0029384475
x1368,0.0029051965,0.0029051965
x392,-0.002899791,0.002899791
x253,-0.0028727027,0.0028727027
x165,-0.0028666449,0.0028666449
x526,-0.0028367322,0.0028367322
x239,-0.0028367322,0.0028367322
x1126,-0.0028257652,0.0028257652
x1461,0.0027884098,0.0027884098
x243,-0.0027855989,0.0027855989
x378,0.0027795027,0.0027795027
x514,-0.002719195,0.002719195
x850,-0.002719195,0.002719195
x699,-0.002719195,0.002719195
x322,-0.002719195,0.002719195
x323,-0.002719195,0.002719195
x902,-0.002719195,0.002719195
x559,-0.002719195,0.002719195
x885,-0.002719195,0.002719195
x213,-0.002719195,0.002719195
x1115,0.0027162272,0.0027162272
x1088,0.0027162272,0.0027162272
x1258,0.0027162272,0.0027162272
x523,0.002707968,0.002707968
x761,0.002707968,0.002707968
x611,0.002707968,0.002707968
x1553,-0.0026930142,0.0026930142
x1159,-0.0026930142,0.0026930142
x1280,-0.0026930142,0.0026930142
x1279,-0.0026930142,0.0026930142
x1339,0.0026791093,0.0026791093
x1302,0.0026479766,0.0026479766
x1506,-0.002599207,0.002599207
x1440,-0.002599207,0.002599207
x542,0.002541932,0.002541932
x709,0.002541932,0.002541932
x711,0.002541932,0.002541932
x1063,-0.002530916,0.002530916
x1509,0.0024634795,0.0024634795
x1265,0.0024430598,0.0024430598
x849,0.0024261342,0.0024261342
x478,0.0024261342,0.0024261342
x246,0.0024069832,0.0024069832
x1299,-0.002338716,0.002338716
x1452,0.002283931,0.002283931
x465,0.0022586647,0.0022586647
x1415,-0.0022317902,0.0022317902
x747,-0.002192525,0.002192525
x852,-0.002192525,0.002192525
x854,-0.002192525,0.002192525
x672,-0.002188775,0.002188775
x436,-0.0020754633,0.0020754633
x510,-0.0020754633,0.0020754633
x60,-0.0020754633,0.0020754633
x894,-0.0020754633,0.0020754633
x137,-0.0020754633,0.0020754633
x903,-0.0020754633,0.0020754633
x768,-0.0020754633,0.0020754633
x127,-0.0020754633,0.0020754633
x491,-0.0020754633,0.0020754633
x547,-0.0020754633,0.0020754633
x410,-0.0020754633,0.0020754633
x710,-0.0020754633,0.0020754633
x401,-0.0020754633,0.0020754633
x731,-0.0020754633,0.0020754633
x641,-0.0020754633,0.0020754633
x232,-0.0020754633,0.0020754633
x877,-0.0020754633,0.0020754633
x1315,-0.0020596941,0.0020596941
x1318,-0.0020175935,0.0020175935
x1436,-0.0020066926,0.0020066926
x556,-0.0019993198,0.0019993198
x540,-0.0019993198,0.0019993198
x914,-0.0019993198,0.0019993198
x172,-0.0019993198,0.0019993198
x336,-0.0019993198,0.0019993198
x359,-0.0019993198,0.0019993198
x584,-0.001962354,0.001962354
x697,-0.001962354,0.001962354
x920,-0.001962354,0.001962354
x1102,0.0019360307,0.0019360307
x1289,-0.0019271983,0.0019271983
x1313,-0.0019271983,0.0019271983
x1122,-0.0019271983,0.0019271983
x417,0.001921926,0.001921926
x1320,-0.0018968969,0.0018968969
x201,-0.0018968969,0.0018968969
x695,-0.0018968969,0.0018968969
x1248,-0.0018968969,0.0018968969
x364,-0.0018968969,0.0018968969
x352,-0.0018968969,0.0018968969
x952,-0.0018968969,0.0018968969
x7,-0.0018968969,0.0018968969
x961,-0.0018968969,0.0018968969
x939,-0.0017764568,0.0017764568
x626,-0.0017764568,0.0017764568
x1090,-0.0017627301,0.0017627301
x1445,0.0017059852,0.0017059852
x1230,0.0016989328,0.0016989328
x96,0.0016964853,0.0016964853
x1024,0.0016964853,0.0016964853
x163,0.0016964853,0.0016964853
x1045,0.0016964853,0.0016964853
x1009,-0.0016754842,0.0016754842
x1016,0.0016462733,0.0016462733
x1128,0.0016462733,0.0016462733
x1055,0.0016462733,0.0016462733
x193,0.0016462733,0.0016462733
x508,0.0015963648,0.0015963648
x1434,0.0015849046,0.0015849046
x948,0.0015729356,0.0015729356
x31,0.0015661228,0.0015661228
x676,-0.0015535476,0.0015535476
x1459,-0.0015375351,0.0015375351
x380,0.0015066722,0.0015066722
x954,-0.0014749661,0.0014749661
x231,-0.0014651713,0.0014651713
x1172,-0.0014558731,0.0014558731
x798,-0.0014487478,0.0014487478
x1510,0.0014452905,0.0014452905
x228,-0.0013932313,0.0013932313
x1555,0.0013601611,0.0013601611
x1473,-0.001341705,0.001341705
x104,0.0013361824,0.0013361824
x1304,-0.001297791,0.001297791
